gene	genename	zscore	effect_size	pvalue	pred_perf_R2	pred_perf_pval	n_snps_used	n_snps_in_model
ENSG00000234936	AC010883.1	-9.64597480675603	-0.39006291289719	0	0.0808203322527131	3.16080066926636e-05	3	9
ENSG00000274895	AC011700.1	7.82458352253266	0.159129335562764	5.10702591327572e-15	0.253061039264087	9.66658732870034e-15	4	6
ENSG00000188211	NCR3LG1	-7.62844693635014	-0.158948324301626	2.37587727269783e-14	0.0606798403773312	0.000334914576963786	6	11
ENSG00000206344	HCG27	7.50905246279508	0.80810929202099	5.95079541199084e-14	0.311	2.2957750703632e-18	4	113
ENSG00000230461	PROX1-AS1	7.40091208341016	0.343035308670586	1.35225164399344e-13	0.0443965278790685	0.00225146285690845	5	8
ENSG00000260196	AC124798.1	-7.31746022510667	-0.200145694502417	2.52686760404686e-13	0.0562539255900567	0.000561869410251029	4	6
ENSG00000011523	CEP68	7.2979447408548	0.194500287417912	2.92210700081341e-13	0.151862022958341	5.95433055310366e-09	7	12
ENSG00000159202	UBE2Z	-7.12399400035325	-0.236715281215595	1.048494624456e-12	0.1	3.42872541141347e-06	6	7
ENSG00000159199	ATP5MC1	-7.11020033631364	-0.308464891041536	1.15885079310374e-12	0.0300045348676708	0.0123467363946803	4	10
ENSG00000153814	JAZF1	-6.75227775271181	-0.119121697264907	1.45541356744161e-11	0.162492609768734	1.57297964939614e-09	6	9
ENSG00000105726	ATP13A1	6.60677519616558	0.42235230593301	3.92781362990036e-11	0.0516017286563729	0.000968053386165687	3	3
ENSG00000157823	AP3S2	6.58008250937104	0.0559050388794803	4.70188332712951e-11	0.458561567543483	2.93024636671496e-29	6	7
ENSG00000204310	AGPAT1	6.45263157894737	0.531140626571051	1.09924291891161e-10	0.297207758450463	1.6839159746066e-17	1	21
ENSG00000095485	CWF19L1	-6.0722996034083	-0.0567705985506605	1.26091403984674e-09	0.296859381935296	1.77311032520246e-17	7	7
ENSG00000132170	PPARG	-6.02673051566052	-0.516770186857666	1.67309632814749e-09	0.036025829089105	0.0060342925179277	5	9
ENSG00000204305	AGER	5.98730396184532	0.92132436652635	2.13347850497314e-09	0.048	0.00149149920996695	7	101
ENSG00000279873	LINC01126	-5.9847151298296	-0.358100689070626	2.16768913929855e-09	0.0694227671252298	0.000120424548107347	4	9
ENSG00000123095	BHLHE41	5.96635444482401	0.748849327326497	2.42612974155065e-09	0.032	0.00934443839701289	8	10
ENSG00000246560	UBE2D3-AS1	-5.77302020642415	-0.176640497921273	7.78631004116903e-09	0.111233039736376	8.53458533151345e-07	4	5
ENSG00000270604	HCG17	5.76782987465965	1.30615245641673	8.02988031622931e-09	0.088	1.34128762736603e-05	4	84
ENSG00000134250	NOTCH2	-5.74838114964254	-0.19414271416731	9.01019459043084e-09	0.097831201182446	4.2304754940649e-06	2	3
ENSG00000163935	SFMBT1	5.7472169399534	0.296784953353046	9.07242991843304e-09	0.027	0.0177891015670459	18	19
ENSG00000136485	DCAF7	-5.68305419260261	-0.613798539133588	1.32310320477558e-08	0.0469145053850183	0.0016758169193246	3	10
ENSG00000198563	DDX39B	5.6711347449408	2.30477192581812	1.41854767932159e-08	0.023	0.0277954876824692	5	84
ENSG00000242498	ARPIN	5.66955929632619	0.324143921789464	1.43165297394887e-08	0.045930897285984	0.00188061242627658	4	17
ENSG00000204348	DXO	5.65909090909091	2.42986879579688	1.52176933276849e-08	0.16430501630802	1.25179637413889e-09	1	9
ENSG00000115216	NRBP1	-5.62894811942837	-0.209362578995708	1.81311918812099e-08	0.0456872532877157	0.00193511416444896	3	5
ENSG00000280620	SCAANT1	-5.58919459846513	-0.391119624628257	2.28125194290385e-08	0.110071912815343	9.81059292192473e-07	4	5
ENSG00000204516	MICB	5.57088089504755	0.209711319338899	2.53454559562272e-08	0.373	1.12405900479487e-22	8	35
